Frame,Angle (rad)
544.0,-1.4058677463011544
545.0,-1.4058677463011544
546.0,0.049191530775724246
547.0,1.1428952129426584
548.0,1.8732795252843024
549.0,-1.5564874788982774
550.0,-0.9519762552857424
551.0,-0.23777309060700658
552.0,-0.44034076276311773
553.0,-0.4836988959872608
554.0,-0.4216960548402586
555.0,-0.4520043969415579
556.0,-0.40455187698159056
557.0,-0.5967105240813227
558.0,-0.5647932209186497
559.0,-0.34637965127007453
560.0,-0.17882592625284222
561.0,-0.2945046453635749
562.0,-0.18706102749463605
563.0,-0.3001437225093082
564.0,-0.27270912914546463
565.0,-0.3917704958978443
566.0,-0.6075358466375128
567.0,-0.640489270234522
568.0,-0.5979847302411208
569.0,-0.6810316894926209
570.0,-0.6637555623357357
571.0,-0.5697668645005678
572.0,-0.48472748460971715
573.0,-0.4400201854047818
574.0,-0.38576341315809115
575.0,-0.38707976589705617
576.0,-0.4218815586351994
577.0,-0.4891152373603629
578.0,-0.5245236529621704
579.0,-0.6690357783707365
580.0,-0.5302149079937362
581.0,-0.6942129546074427
582.0,-0.7202354798734101
583.0,-0.755044711939667
584.0,-0.6447021654059607
585.0,-0.5530798631808378
586.0,-0.44652640010690803
587.0,-0.41741904760513027
588.0,-0.28149534431638434
589.0,-0.2804107445018009
590.0,-0.27254495170209236
591.0,-0.2609400205276686
592.0,-0.21654593803120203
593.0,-0.19373795917400938
594.0,-0.2207046994004953
595.0,-0.1403667053586093
596.0,-0.08225180971317214
597.0,-0.23249814474241726
598.0,-0.13493681859693285
599.0,-0.09426310911835989
600.0,-0.09067186210901546
601.0,-0.07268298089529646
602.0,-0.15491942239851153
603.0,-0.07272015499440654
604.0,0.01738625162989904
605.0,0.06979172584564886
606.0,0.04829369933731176
607.0,0.17117125716026482
608.0,0.2071286591911463
609.0,0.2773621498010208
610.0,0.2760339944812309
611.0,0.190492706034753
612.0,0.1978786556108476
613.0,0.13389110588770925
614.0,0.15468001903702588
615.0,0.1877022881065229
616.0,0.05904518890434174
617.0,-0.04041481954051829
618.0,-0.007246408859039821
619.0,-0.13377156287837244
620.0,0.012067505584039129
621.0,0.2351346961274534
622.0,0.19062789386957535
623.0,0.1857709220141457
624.0,0.11709382990837836
625.0,0.16719558240318944
626.0,0.014202666213035675
627.0,0.004116784408393359
628.0,0.04606570309965363
629.0,0.06248280076352297
630.0,0.06433892880940228
631.0,0.0791926616796288
632.0,0.165775152686662
633.0,0.33690455586385415
634.0,0.4241500193391117
635.0,0.46220316779188364
636.0,0.5316840223944144
637.0,0.639035751986155
638.0,0.6514911570205767
639.0,0.7598697409113836
640.0,0.7832323874698939
641.0,0.706973525644432
642.0,0.7025809499568866
643.0,0.6727134734671041
644.0,0.6269285569738611
645.0,0.5338871323847316
646.0,0.45102568281578126
647.0,0.48745927043165915
648.0,0.5003495916877823
649.0,0.4662111265513884
650.0,0.4894759931956041
651.0,0.47620688024455404
652.0,0.43493865184373526
653.0,0.37508965795577254
654.0,0.2231920802396079
655.0,0.14749597216837262
656.0,0.15558601210761625
657.0,-0.09851682648282956
658.0,-0.1777700168817795
659.0,-0.2652011240011507
660.0,-0.24407314236371058
661.0,-0.5160278592551673
662.0,-0.6096874381796444
663.0,-0.6056963180030027
664.0,-0.574346866465768
665.0,-0.49654434761549804
666.0,-0.467091555692438
667.0,-0.6357428306588456
668.0,-0.6658336269654562
669.0,-0.8524396415321398
670.0,-1.0360912257585644
671.0,-1.0135742236314444
672.0,-1.2093634304341745
673.0,-1.2264829679612692
674.0,-1.270606716664982
675.0,-1.3260938537674707
676.0,-1.3169383894154876
677.0,-1.1735455045764343
678.0,-0.9128223934794268
679.0,-0.9643764320163992
680.0,-1.0229254615953007
681.0,-1.0568708585901538
682.0,-1.1615715393977157
683.0,-1.25241441623234
684.0,-1.2662420006984443
685.0,-1.173923222123479
686.0,-1.029078540865349
687.0,-1.0770700638810422
688.0,-0.9159416305290081
689.0,-0.7967115665845186
690.0,-0.7516972995319424
691.0,-0.6206498582621183
692.0,-0.7443532840834342
693.0,-0.6959502740911506
694.0,-0.692379800792908
695.0,-0.5872664160430158
696.0,-0.5216589179039808
697.0,-0.4324066868947487
698.0,-0.5897453046572243
